u,v,style,opacity,Direct,color
5,1,,,TRUE,black
6,1,,,TRUE,black
7,1,,,TRUE,black
8,1,,,TRUE,black
2,5,,,TRUE,black
2,6,,,TRUE,black
2,7,,,TRUE,black
2,8,,,TRUE,black
3,5,,,TRUE,black
3,6,,,TRUE,black
3,7,,,TRUE,black
3,8,,,TRUE,black
4,5,,,TRUE,black
4,6,,,TRUE,black
4,7,,,TRUE,black
4,8,,,TRUE,black
13,4,,,TRUE,black
14,4,,,TRUE,black
15,4,,,TRUE,black
16,4,,,TRUE,black
9,2,,,TRUE,black
10,2,,,TRUE,black
11,2,,,TRUE,black
12,2,,,TRUE,black
9,3,,,TRUE,black
10,3,,,TRUE,black
11,3,,,TRUE,black
12,3,,,TRUE,black
18,9,,,TRUE,black
18,10,,,TRUE,black
18,11,,,TRUE,black
18,12,,,TRUE,black
19,9,,,TRUE,black
19,10,,,TRUE,black
19,11,,,TRUE,black
19,12,,,TRUE,black
20,9,,,TRUE,black
20,10,,,TRUE,black
20,11,,,TRUE,black
20,12,,,TRUE,black
17,13,,,TRUE,black
17,14,,,TRUE,black
17,15,,,TRUE,black
17,16,,,TRUE,black
